,x,y,num,connection
0,0,0,21,"[(2, 13), (10, 15), (20, 14), (13, 0), (0, 8), (16, 6), (22, 5), (8, 10), (18, 5), (4, 3), (0, 9), (8, 2), (21, 3), (4, 14), (4, 8), (9, 9), (3, 7), (1, 2), (5, 5), (3, 4), (2, 19)]"
1,0,1,18,"[(8, 15), (12, 4), (6, 4), (20, 13), (3, 17), (21, 11), (1, 17), (14, 6), (9, 0), (11, 12), (4, 6), (8, 5), (13, 1), (14, 19), (2, 15), (11, 14), (14, 2), (3, 6)]"
2,0,2,37,"[(5, 6), (3, 5), (9, 20), (13, 14), (4, 3), (0, 25), (9, 28), (3, 7), (7, 23), (11, 13), (18, 5), (4, 7), (17, 0), (7, 6), (5, 14), (7, 14), (3, 16), (21, 9), (4, 18), (19, 0), (6, 9), (0, 10), (7, 9), (7, 18), (1, 5), (12, 12), (2, 24), (13, 11), (1, 27), (10, 6), (15, 12), (14, 13), (16, 11), (9, 11), (3, 14), (11, 7), (6, 8)]"
3,0,3,19,"[(9, 13), (6, 2), (19, 11), (7, 8), (3, 0), (15, 19), (11, 5), (5, 10), (3, 9), (2, 6), (10, 15), (0, 9), (11, 4), (6, 6), (7, 10), (0, 15), (5, 11), (11, 12), (16, 10)]"
4,0,4,21,"[(9, 9), (2, 18), (15, 3), (17, 17), (7, 7), (12, 1), (14, 2), (14, 12), (4, 4), (7, 6), (18, 7), (14, 19), (7, 17), (0, 12), (8, 19), (4, 12), (2, 12), (16, 11), (15, 15), (8, 10), (8, 2)]"
5,0,5,18,"[(12, 20), (7, 8), (10, 6), (16, 10), (27, 4), (23, 6), (8, 15), (14, 16), (8, 7), (16, 2), (17, 20), (8, 3), (1, 9), (4, 0), (4, 8), (13, 14), (7, 4), (10, 14)]"
6,0,6,20,"[(13, 16), (0, 13), (0, 15), (17, 4), (11, 14), (10, 6), (12, 6), (9, 10), (22, 16), (12, 17), (11, 12), (18, 7), (3, 5), (15, 5), (14, 8), (5, 11), (7, 0), (12, 9), (0, 19), (2, 21)]"
7,0,7,21,"[(12, 5), (9, 1), (7, 20), (4, 12), (4, 3), (1, 23), (6, 3), (9, 12), (15, 10), (11, 1), (16, 16), (20, 2), (1, 20), (17, 11), (3, 0), (1, 4), (14, 13), (5, 2), (7, 3), (5, 7), (4, 11)]"
8,0,8,26,"[(0, 0), (11, 3), (6, 3), (5, 14), (10, 16), (13, 7), (8, 1), (2, 17), (4, 3), (7, 20), (6, 26), (3, 13), (1, 2), (6, 9), (4, 13), (11, 10), (4, 17), (2, 7), (5, 15), (14, 9), (8, 14), (14, 17), (7, 1), (11, 7), (14, 11), (9, 17)]"
9,0,9,22,"[(0, 0), (0, 3), (8, 3), (12, 19), (30, 8), (18, 8), (16, 19), (9, 23), (1, 0), (1, 3), (1, 18), (7, 12), (13, 16), (8, 15), (18, 5), (17, 5), (15, 18), (6, 16), (13, 24), (0, 36), (7, 17), (3, 1)]"
10,0,10,19,"[(0, 2), (4, 21), (5, 10), (23, 17), (3, 7), (31, 16), (12, 3), (3, 20), (14, 14), (1, 16), (0, 35), (9, 0), (10, 12), (4, 6), (10, 18), (2, 1), (7, 29), (8, 5), (11, 0)]"
11,0,11,24,"[(2, 26), (10, 9), (9, 32), (10, 10), (10, 28), (22, 8), (10, 2), (1, 20), (1, 3), (5, 13), (4, 17), (2, 23), (6, 18), (12, 5), (13, 1), (8, 19), (12, 18), (3, 15), (7, 13), (10, 26), (2, 8), (7, 7), (12, 24), (2, 18)]"
12,0,12,20,"[(0, 4), (15, 8), (7, 5), (2, 25), (2, 1), (5, 7), (13, 1), (6, 34), (4, 21), (15, 12), (3, 12), (13, 11), (7, 8), (9, 13), (5, 22), (6, 15), (12, 16), (10, 8), (5, 10), (1, 4)]"
13,0,13,21,"[(0, 6), (14, 14), (11, 19), (2, 15), (10, 4), (7, 45), (20, 5), (3, 6), (9, 21), (0, 16), (1, 12), (2, 12), (2, 31), (0, 20), (3, 16), (8, 24), (8, 11), (3, 8), (5, 22), (15, 14), (2, 26)]"
14,0,14,18,"[(10, 26), (8, 17), (5, 10), (7, 0), (7, 28), (0, 18), (8, 13), (4, 28), (6, 9), (18, 27), (11, 17), (27, 15), (14, 11), (3, 5), (20, 11), (7, 14), (18, 22), (14, 10)]"
15,0,15,19,"[(0, 3), (0, 6), (19, 8), (3, 14), (9, 12), (15, 13), (1, 6), (15, 16), (17, 18), (14, 27), (10, 19), (2, 16), (0, 26), (3, 16), (12, 8), (12, 9), (3, 9), (6, 18), (15, 32)]"
16,0,16,28,"[(0, 13), (16, 1), (1, 25), (4, 16), (11, 15), (10, 7), (7, 6), (2, 17), (4, 30), (15, 18), (9, 5), (7, 9), (15, 34), (17, 38), (16, 19), (8, 30), (1, 7), (20, 6), (14, 1), (20, 10), (13, 14), (9, 19), (10, 32), (20, 7), (1, 1), (9, 16), (22, 12), (10, 18)]"
17,0,17,44,"[(6, 8), (6, 13), (11, 6), (12, 30), (6, 26), (7, 10), (3, 7), (5, 6), (7, 31), (15, 27), (4, 0), (1, 9), (3, 15), (13, 45), (9, 30), (16, 23), (16, 21), (5, 18), (10, 2), (8, 26), (5, 7), (15, 6), (6, 6), (7, 13), (8, 2), (4, 21), (9, 12), (1, 19), (5, 33), (7, 16), (14, 19), (4, 27), (4, 10), (13, 15), (16, 24), (1, 20), (10, 22), (14, 12), (1, 14), (16, 10), (0, 22), (0, 23), (15, 18), (4, 16)]"
18,0,18,27,"[(0, 14), (28, 24), (4, 11), (11, 18), (6, 29), (7, 31), (13, 19), (5, 14), (7, 6), (5, 9), (6, 8), (5, 21), (5, 7), (18, 30), (29, 13), (3, 36), (3, 18), (8, 22), (6, 7), (6, 15), (5, 10), (9, 17), (14, 11), (10, 8), (12, 25), (9, 9), (2, 26)]"
19,0,19,21,"[(0, 6), (12, 37), (7, 4), (12, 17), (14, 22), (3, 15), (19, 14), (6, 9), (3, 6), (8, 12), (21, 24), (3, 5), (5, 6), (12, 24), (6, 6), (4, 12), (11, 27), (12, 5), (11, 5), (1, 40), (16, 35)]"
20,0,20,20,"[(0, 13), (4, 29), (10, 7), (24, 31), (13, 6), (3, 5), (12, 17), (1, 20), (17, 18), (3, 14), (10, 18), (4, 41), (9, 22), (11, 3), (12, 15), (28, 13), (7, 35), (28, 19), (6, 36), (15, 16)]"
21,0,21,20,"[(11, 9), (2, 18), (8, 8), (13, 22), (4, 22), (9, 29), (1, 7), (7, 12), (13, 28), (26, 16), (7, 26), (7, 32), (8, 16), (18, 18), (15, 12), (28, 24), (4, 11), (15, 8), (2, 6), (12, 20)]"
22,0,22,27,"[(0, 17), (8, 30), (8, 11), (1, 29), (11, 21), (10, 20), (17, 24), (9, 35), (6, 35), (22, 19), (8, 18), (12, 23), (9, 19), (6, 24), (10, 7), (11, 3), (2, 19), (2, 8), (16, 15), (11, 27), (12, 32), (15, 30), (10, 23), (4, 35), (0, 36), (13, 15), (17, 25)]"
23,0,23,26,"[(0, 17), (9, 33), (5, 23), (2, 7), (0, 34), (13, 16), (10, 30), (5, 20), (14, 12), (25, 20), (6, 13), (4, 13), (7, 22), (8, 33), (14, 1), (9, 15), (6, 19), (2, 26), (5, 21), (7, 24), (9, 9), (7, 28), (9, 29), (6, 38), (10, 41), (1, 0)]"
24,0,24,26,"[(8, 36), (5, 21), (16, 27), (12, 42), (10, 27), (12, 27), (5, 9), (2, 41), (12, 23), (10, 31), (11, 10), (2, 30), (9, 14), (10, 33), (2, 8), (10, 15), (6, 37), (17, 20), (20, 18), (13, 28), (10, 35), (12, 26), (12, 17), (9, 24), (1, 16), (9, 34)]"
25,0,25,40,"[(0, 2), (6, 23), (16, 32), (17, 30), (5, 33), (10, 17), (12, 9), (1, 30), (1, 17), (18, 35), (4, 37), (12, 33), (18, 12), (16, 26), (2, 44), (0, 38), (11, 17), (4, 31), (19, 28), (4, 12), (5, 43), (27, 34), (15, 25), (11, 6), (18, 27), (14, 24), (23, 17), (6, 29), (15, 32), (11, 23), (3, 17), (6, 38), (3, 30), (1, 42), (2, 20), (7, 29), (19, 16), (8, 14), (5, 12), (6, 12)]"
26,0,26,25,"[(0, 15), (16, 46), (10, 39), (2, 11), (8, 28), (5, 14), (13, 32), (3, 36), (36, 45), (22, 8), (10, 33), (0, 39), (13, 34), (12, 22), (2, 41), (12, 42), (9, 25), (12, 25), (4, 25), (28, 23), (11, 36), (1, 39), (18, 25), (7, 12), (12, 39)]"
27,0,27,50,"[(14, 11), (5, 36), (13, 35), (14, 25), (18, 28), (17, 24), (20, 18), (13, 24), (8, 32), (7, 18), (15, 33), (5, 35), (13, 34), (8, 30), (15, 22), (5, 34), (8, 13), (12, 41), (29, 49), (19, 14), (11, 12), (9, 28), (3, 30), (10, 41), (7, 23), (0, 45), (20, 33), (4, 13), (15, 13), (7, 24), (7, 42), (1, 45), (4, 32), (0, 31), (6, 24), (16, 28), (4, 25), (3, 36), (13, 5), (7, 10), (6, 16), (11, 39), (0, 34), (17, 21), (2, 32), (9, 27), (9, 21), (5, 22), (2, 14), (12, 26)]"
28,0,28,18,"[(7, 40), (3, 13), (2, 39), (0, 33), (11, 18), (5, 47), (11, 20), (6, 36), (7, 34), (1, 40), (6, 23), (16, 25), (6, 31), (4, 26), (15, 31), (14, 21), (10, 43), (9, 34)]"
29,0,29,25,"[(8, 9), (9, 30), (18, 30), (1, 25), (9, 34), (11, 23), (4, 33), (13, 27), (3, 29), (4, 36), (12, 22), (12, 36), (3, 14), (10, 31), (6, 39), (2, 33), (0, 32), (18, 29), (12, 25), (16, 30), (4, 25), (2, 34), (1, 29), (8, 16), (8, 25)]"
30,0,30,21,"[(2, 30), (5, 34), (5, 38), (7, 34), (8, 32), (15, 28), (12, 42), (1, 12), (1, 20), (10, 39), (4, 34), (10, 22), (5, 32), (12, 36), (2, 29), (12, 31), (9, 24), (6, 13), (18, 32), (2, 20), (8, 25)]"
31,0,31,18,"[(0, 27), (5, 33), (8, 44), (6, 33), (19, 47), (7, 26), (7, 44), (17, 41), (12, 37), (3, 39), (5, 13), (18, 23), (1, 27), (9, 28), (18, 32), (12, 26), (9, 23), (3, 34)]"
32,0,32,21,"[(0, 29), (9, 28), (3, 14), (7, 34), (11, 24), (6, 45), (6, 22), (13, 38), (9, 29), (3, 33), (12, 46), (7, 41), (2, 34), (11, 33), (20, 28), (9, 45), (15, 39), (1, 30), (7, 32), (9, 36), (4, 22)]"
33,0,33,18,"[(0, 28), (4, 43), (6, 43), (4, 44), (5, 39), (3, 33), (7, 14), (1, 37), (11, 37), (5, 35), (4, 33), (15, 44), (14, 43), (3, 46), (3, 15), (7, 36), (16, 23), (1, 35)]"
34,0,34,46,"[(0, 23), (0, 27), (21, 46), (10, 16), (5, 27), (2, 36), (9, 40), (7, 39), (21, 37), (8, 33), (5, 40), (8, 35), (3, 42), (10, 26), (10, 21), (3, 39), (2, 32), (11, 42), (8, 31), (7, 27), (7, 49), (6, 46), (1, 37), (14, 31), (1, 31), (22, 27), (5, 30), (6, 33), (14, 38), (7, 38), (5, 49), (7, 46), (4, 26), (3, 29), (8, 15), (12, 21), (1, 40), (9, 31), (1, 24), (19, 45), (16, 34), (14, 33), (6, 8), (5, 24), (3, 21), (1, 44)]"
35,0,35,24,"[(0, 10), (1, 20), (9, 36), (2, 37), (4, 40), (4, 26), (0, 39), (0, 42), (2, 24), (22, 45), (12, 27), (5, 45), (10, 28), (11, 42), (29, 41), (11, 25), (10, 26), (14, 24), (5, 25), (8, 37), (5, 40), (8, 33), (16, 23), (24, 36)]"
36,0,36,47,"[(0, 9), (0, 22), (11, 34), (6, 31), (6, 44), (16, 11), (8, 37), (14, 45), (2, 45), (10, 42), (9, 36), (8, 49), (17, 28), (14, 32), (4, 49), (9, 42), (9, 32), (8, 47), (0, 41), (6, 42), (9, 39), (4, 31), (23, 38), (1, 41), (18, 44), (24, 35), (6, 46), (4, 32), (3, 48), (1, 46), (2, 39), (14, 25), (4, 25), (1, 40), (10, 37), (3, 36), (6, 41), (13, 29), (11, 41), (4, 35), (20, 46), (13, 39), (6, 38), (12, 45), (9, 33), (10, 49), (5, 34)]"
37,0,37,29,"[(21, 38), (10, 23), (4, 45), (7, 37), (5, 41), (2, 39), (10, 31), (21, 34), (6, 43), (12, 30), (7, 25), (9, 34), (14, 45), (12, 32), (14, 35), (6, 32), (1, 31), (1, 48), (18, 32), (10, 44), (0, 42), (17, 28), (7, 48), (4, 35), (17, 21), (9, 39), (15, 34), (3, 37), (19, 41)]"
38,0,38,34,"[(0, 25), (4, 39), (16, 48), (8, 37), (16, 36), (8, 29), (1, 25), (7, 26), (4, 36), (16, 25), (13, 40), (4, 34), (5, 20), (15, 45), (6, 42), (11, 37), (0, 42), (12, 22), (7, 27), (9, 38), (1, 38), (3, 30), (19, 48), (27, 29), (18, 39), (5, 23), (8, 25), (3, 33), (16, 16), (7, 43), (5, 21), (15, 39), (13, 37), (14, 44)]"
39,0,39,18,"[(0, 26), (0, 35), (0, 44), (23, 34), (4, 27), (1, 32), (4, 18), (11, 27), (19, 35), (9, 46), (4, 29), (2, 40), (9, 38), (3, 40), (20, 18), (3, 41), (22, 37), (7, 18)]"
40,0,40,30,"[(3, 24), (23, 37), (7, 33), (9, 45), (8, 47), (13, 40), (16, 48), (7, 35), (2, 31), (2, 41), (17, 37), (20, 19), (6, 40), (6, 39), (10, 37), (13, 37), (6, 49), (4, 25), (8, 26), (3, 36), (8, 49), (11, 33), (7, 41), (7, 30), (15, 39), (9, 36), (4, 28), (2, 26), (11, 39), (5, 29)]"
41,0,41,20,"[(0, 36), (6, 44), (4, 44), (13, 39), (0, 45), (6, 30), (22, 44), (5, 43), (13, 37), (3, 33), (14, 31), (9, 40), (6, 35), (8, 49), (2, 37), (17, 24), (1, 38), (10, 48), (6, 46), (20, 37)]"
42,0,42,30,"[(0, 35), (0, 37), (0, 38), (5, 38), (8, 35), (12, 47), (2, 43), (12, 31), (3, 32), (6, 49), (7, 35), (27, 30), (8, 42), (2, 31), (31, 45), (15, 29), (11, 41), (1, 41), (4, 44), (3, 36), (18, 35), (39, 35), (2, 48), (9, 38), (18, 42), (12, 48), (15, 28), (15, 40), (9, 31), (5, 47)]"
43,0,43,27,"[(7, 31), (7, 39), (6, 42), (7, 40), (8, 43), (10, 34), (8, 39), (5, 29), (5, 47), (10, 24), (9, 37), (21, 48), (1, 34), (15, 26), (9, 45), (1, 46), (1, 41), (12, 39), (0, 45), (10, 48), (1, 30), (4, 41), (4, 39), (15, 48), (14, 36), (12, 46), (11, 36)]"
44,0,44,50,"[(0, 39), (7, 39), (3, 49), (6, 33), (8, 34), (4, 35), (4, 42), (15, 39), (4, 29), (9, 30), (14, 47), (6, 15), (2, 41), (9, 44), (32, 23), (12, 43), (8, 40), (7, 35), (2, 23), (10, 28), (16, 35), (20, 43), (1, 39), (25, 47), (17, 47), (9, 27), (12, 34), (4, 41), (10, 41), (5, 29), (0, 46), (5, 42), (18, 47), (9, 46), (24, 33), (12, 39), (4, 43), (13, 32), (7, 25), (1, 41), (9, 20), (3, 43), (8, 48), (9, 38), (6, 49), (20, 46), (2, 39), (1, 44), (17, 44), (8, 27)]"
45,0,45,34,"[(0, 27), (0, 41), (0, 43), (7, 26), (10, 33), (23, 36), (15, 40), (1, 38), (8, 41), (19, 42), (6, 32), (9, 35), (14, 42), (3, 36), (4, 22), (22, 43), (20, 40), (6, 35), (5, 38), (13, 44), (10, 44), (13, 33), (12, 39), (24, 41), (16, 41), (21, 35), (8, 25), (2, 45), (11, 43), (6, 45), (7, 37), (19, 28), (4, 38), (8, 38)]"
46,0,46,18,"[(0, 44), (10, 33), (6, 42), (2, 33), (3, 48), (11, 42), (11, 45), (13, 36), (11, 35), (5, 47), (13, 44), (12, 43), (10, 26), (10, 42), (4, 45), (9, 34), (4, 44), (8, 38)]"
47,0,47,26,"[(4, 49), (12, 41), (4, 46), (7, 42), (10, 42), (10, 40), (7, 31), (7, 38), (9, 33), (19, 35), (22, 27), (6, 35), (4, 37), (24, 45), (5, 38), (2, 32), (10, 48), (14, 37), (1, 38), (20, 41), (8, 32), (15, 36), (27, 34), (29, 47), (11, 37), (20, 39)]"
48,0,48,26,"[(15, 42), (8, 45), (5, 47), (8, 34), (10, 36), (3, 35), (15, 39), (1, 44), (1, 18), (0, 49), (7, 39), (12, 47), (6, 44), (11, 42), (24, 35), (21, 41), (9, 34), (13, 47), (13, 42), (12, 41), (3, 37), (10, 26), (3, 41), (7, 38), (6, 41), (12, 37)]"
49,0,49,27,"[(0, 48), (5, 47), (12, 46), (3, 29), (4, 41), (15, 37), (20, 48), (8, 45), (2, 47), (4, 31), (12, 47), (3, 46), (7, 38), (14, 40), (11, 44), (6, 44), (5, 31), (8, 33), (9, 45), (5, 34), (9, 41), (10, 34), (9, 44), (3, 43), (7, 41), (6, 49), (3, 39)]"
50,1,0,31,"[(0, 9), (0, 23), (14, 16), (5, 6), (16, 18), (17, 3), (3, 14), (17, 8), (15, 8), (8, 1), (3, 3), (3, 1), (21, 3), (3, 24), (12, 11), (10, 8), (3, 11), (13, 15), (11, 9), (11, 8), (6, 15), (5, 10), (7, 18), (4, 20), (2, 15), (10, 3), (7, 16), (3, 18), (1, 6), (14, 3), (8, 2)]"
51,1,1,18,"[(0, 16), (2, 20), (12, 9), (5, 33), (21, 11), (10, 7), (11, 12), (6, 1), (23, 3), (4, 7), (21, 12), (1, 7), (2, 14), (21, 18), (19, 7), (10, 10), (3, 29), (7, 6)]"
52,1,2,36,"[(0, 0), (0, 8), (12, 25), (11, 18), (10, 22), (3, 6), (18, 9), (7, 9), (3, 3), (6, 7), (9, 7), (15, 11), (6, 10), (9, 8), (6, 6), (3, 0), (2, 0), (25, 32), (2, 16), (6, 12), (5, 8), (10, 15), (14, 10), (15, 6), (13, 9), (16, 2), (3, 11), (19, 11), (4, 5), (5, 7), (6, 20), (11, 1), (5, 2), (3, 25), (9, 4), (12, 5)]"
53,1,3,32,"[(0, 9), (0, 11), (9, 1), (13, 13), (5, 17), (5, 8), (8, 5), (10, 3), (3, 0), (4, 15), (5, 5), (5, 9), (10, 1), (13, 23), (2, 12), (10, 10), (12, 2), (6, 18), (9, 11), (7, 10), (1, 31), (3, 14), (10, 14), (18, 20), (10, 8), (32, 6), (6, 5), (4, 30), (9, 2), (14, 12), (4, 1), (1, 7)]"
54,1,4,18,"[(0, 7), (0, 12), (4, 3), (16, 1), (8, 16), (13, 3), (15, 8), (15, 4), (27, 4), (3, 28), (11, 9), (23, 7), (3, 8), (7, 11), (11, 8), (18, 13), (3, 9), (17, 16)]"
55,1,5,21,"[(0, 2), (10, 2), (13, 8), (3, 19), (14, 1), (2, 22), (15, 13), (5, 14), (12, 6), (2, 10), (3, 6), (14, 9), (3, 8), (5, 10), (11, 12), (9, 25), (1, 10), (12, 2), (7, 21), (1, 22), (19, 5)]"
56,1,6,27,"[(0, 15), (1, 0), (12, 34), (2, 17), (14, 4), (20, 9), (15, 21), (9, 11), (19, 14), (2, 4), (2, 16), (23, 7), (4, 8), (10, 15), (21, 1), (4, 13), (4, 28), (3, 24), (9, 16), (10, 31), (2, 5), (1, 8), (7, 6), (4, 9), (11, 12), (13, 13), (18, 6)]"
