,x,y,num,connection
0,0,0,28,"[(1, 6), (1, 27), (11, 0), (22, 9), (5, 22), (18, 6), (3, 15), (16, 20), (36, 9), (3, 12), (15, 5), (39, 6), (4, 12), (6, 4), (11, 24), (0, 4), (3, 20), (7, 16), (3, 0), (9, 6), (9, 14), (51, 11), (12, 1), (11, 25), (19, 29), (8, 22), (24, 9), (8, 6)]"
1,0,1,22,"[(16, 36), (0, 5), (3, 28), (24, 32), (11, 7), (16, 10), (22, 20), (12, 23), (19, 12), (10, 3), (30, 15), (0, 29), (24, 13), (27, 5), (18, 16), (0, 10), (22, 18), (2, 8), (30, 7), (9, 3), (15, 9), (33, 24)]"
2,0,2,25,"[(5, 4), (12, 8), (29, 16), (2, 20), (9, 9), (23, 25), (22, 18), (29, 8), (31, 0), (1, 58), (15, 22), (18, 8), (4, 7), (18, 14), (25, 5), (10, 21), (16, 20), (24, 24), (15, 5), (1, 1), (12, 13), (12, 14), (18, 7), (22, 12), (21, 18)]"
3,0,3,22,"[(3, 27), (5, 22), (14, 21), (14, 8), (12, 9), (17, 12), (26, 21), (0, 15), (4, 12), (15, 6), (5, 4), (11, 2), (28, 42), (16, 0), (18, 15), (6, 27), (12, 5), (11, 39), (56, 7), (10, 8), (8, 24), (12, 28)]"
4,0,4,23,"[(0, 0), (6, 39), (18, 3), (25, 28), (21, 4), (14, 37), (9, 12), (31, 2), (22, 0), (26, 6), (13, 7), (14, 5), (22, 6), (26, 4), (5, 17), (6, 9), (3, 9), (29, 9), (25, 58), (23, 7), (25, 13), (18, 32), (6, 18)]"
5,0,5,41,"[(0, 1), (32, 10), (14, 6), (3, 25), (17, 15), (4, 35), (8, 25), (1, 8), (17, 9), (39, 44), (21, 21), (16, 6), (6, 14), (42, 15), (18, 23), (5, 16), (13, 9), (17, 1), (10, 5), (3, 6), (5, 8), (25, 19), (10, 27), (16, 32), (18, 21), (10, 39), (8, 27), (35, 34), (3, 12), (17, 0), (2, 27), (8, 14), (22, 11), (3, 3), (1, 20), (18, 9), (10, 2), (6, 13), (23, 40), (12, 20), (20, 10)]"
6,0,6,32,"[(3, 37), (29, 19), (4, 20), (11, 13), (6, 9), (8, 30), (21, 6), (5, 8), (14, 13), (2, 20), (13, 12), (18, 7), (5, 6), (31, 6), (4, 14), (32, 15), (19, 4), (1, 22), (56, 35), (18, 14), (4, 7), (13, 16), (1, 28), (13, 34), (21, 36), (27, 6), (21, 14), (9, 0), (23, 27), (18, 9), (15, 21), (22, 19)]"
7,0,7,34,"[(17, 13), (22, 37), (8, 4), (2, 13), (2, 7), (17, 11), (3, 6), (9, 19), (10, 10), (1, 19), (12, 27), (34, 14), (4, 25), (13, 7), (6, 10), (5, 38), (6, 18), (7, 19), (9, 5), (10, 13), (12, 1), (14, 50), (5, 22), (15, 6), (3, 2), (1, 0), (34, 21), (5, 11), (23, 20), (8, 14), (7, 37), (2, 2), (7, 58), (13, 26)]"
8,0,8,37,"[(17, 4), (19, 15), (15, 3), (40, 8), (28, 1), (17, 21), (20, 15), (7, 28), (10, 19), (21, 38), (2, 1), (7, 18), (41, 1), (15, 1), (24, 9), (3, 11), (14, 18), (3, 5), (30, 39), (37, 15), (11, 15), (1, 14), (15, 9), (4, 12), (16, 30), (24, 4), (17, 25), (21, 3), (10, 26), (6, 5), (18, 15), (25, 16), (19, 20), (13, 8), (19, 10), (13, 3), (9, 21)]"
9,0,9,18,"[(27, 10), (1, 5), (1, 17), (23, 24), (35, 22), (8, 16), (11, 16), (28, 2), (22, 25), (18, 0), (12, 21), (34, 7), (5, 14), (1, 11), (15, 27), (16, 18), (10, 17), (12, 28)]"
10,0,10,18,"[(0, 1), (1, 2), (20, 4), (6, 9), (8, 18), (6, 37), (16, 4), (4, 4), (9, 11), (9, 34), (8, 28), (6, 6), (18, 14), (26, 1), (1, 15), (27, 31), (11, 14), (11, 26)]"
11,0,11,18,"[(39, 23), (4, 25), (13, 46), (11, 28), (21, 7), (5, 5), (24, 11), (15, 4), (41, 63), (7, 12), (16, 19), (24, 30), (20, 23), (18, 21), (11, 18), (1, 8), (11, 1), (14, 12)]"
12,0,12,39,"[(2, 27), (5, 12), (30, 25), (22, 17), (7, 12), (5, 34), (6, 20), (4, 15), (1, 0), (16, 21), (43, 22), (2, 49), (6, 44), (21, 15), (44, 22), (7, 26), (14, 4), (10, 6), (44, 34), (12, 30), (13, 28), (12, 10), (5, 7), (17, 21), (6, 21), (1, 32), (7, 54), (5, 0), (7, 45), (0, 19), (2, 16), (12, 19), (13, 34), (15, 19), (12, 34), (3, 6), (1, 21), (6, 4), (15, 31)]"
13,0,13,34,"[(0, 16), (14, 17), (1, 17), (6, 26), (23, 32), (2, 20), (34, 38), (6, 7), (6, 21), (32, 8), (15, 17), (1, 18), (8, 8), (12, 7), (5, 5), (10, 10), (4, 5), (2, 29), (20, 25), (13, 31), (20, 45), (6, 19), (16, 41), (23, 28), (14, 39), (45, 16), (27, 9), (3, 0), (13, 12), (20, 23), (26, 26), (10, 21), (18, 9), (1, 15)]"
14,0,14,21,"[(2, 21), (15, 22), (33, 3), (14, 27), (10, 15), (1, 33), (38, 21), (9, 28), (0, 36), (15, 6), (25, 25), (24, 1), (12, 7), (3, 23), (18, 27), (10, 31), (2, 24), (3, 13), (12, 24), (34, 30), (13, 34)]"
