number_media,final_opinion,final_std,final_clustering,final_pol,prob_to_change
10,0.1384,0.0185379593267436,0.6178072506810784,-0.0496,0.092
20,0.3112,0.016589345978669564,0.3985979731250569,0.028,0.008
30,0.3584,0.016019699872344674,0.36402438576119067,-0.0048,0.004
40,0.41,0.015362289412714497,0.37101290880138893,-0.0004,0.0
50,0.444,0.014912660929559151,0.3768528137732941,0.0056,0.0
60,0.4576,0.014729005940660083,0.37782059084436226,0.0064,0.0
70,0.476,0.014477347823410197,0.384639820484561,-0.004,0.0
80,0.5132,0.013953548079252101,0.39653013613453575,0.0068,0.0
90,0.508,0.014028505836331966,0.38682541413790716,-0.0016,0.0
100,0.5472,0.013457740672193083,0.4128142199866318,0.0048,0.0
