number_media,final_opinion,final_std,final_clustering,final_pol,prob_to_change
10,0.2064,0.017816817224184572,0.49967527401295053,0.0016,0.23
20,0.3384,0.01626763363246173,0.3784689846494093,-0.0032,0.016
30,0.3772,0.01577905649904328,0.3768927925182561,-0.0188,0.004
40,0.4128,0.015325586448811672,0.372503837855796,0.004,0.0
50,0.4276,0.01513049159809423,0.3732219974841862,0.0084,0.0
60,0.4596,0.014702326346534416,0.3762792172196009,-0.002,0.0
70,0.4684,0.014581810038537741,0.37921575694730525,-0.0052,0.0
80,0.5112,0.013980502995243052,0.39596889998933193,-0.0128,0.0
90,0.5008,0.014130808327905378,0.3917981762667984,-0.0008,0.0
100,0.5408,0.013551008228172545,0.4115941890823879,-0.0112,0.0
