number_media,final_opinion,final_std,final_clustering,final_pol,prob_to_change
10,0.1576,0.018270353691157707,0.5717140122124413,-0.0888,0.312
20,0.3036,0.016690099580290108,0.4025286781260487,0.0012,0.034
30,0.3872,0.01565623505188907,0.3699148023280207,-0.0024,0.0
40,0.4004,0.015486022601042527,0.36654772164310756,-0.0076,0.0
50,0.4192,0.015241030936258872,0.3650770725208408,-0.0088,0.0
60,0.4676,0.014589094008882116,0.37547003581312266,0.0172,0.0
70,0.4864,0.014332285232997564,0.38372880847166463,-0.008,0.0
80,0.514,0.01394207674631007,0.3969420365885212,0.0068,0.0
90,0.5012,0.014125043858338989,0.39447029703147374,0.0028,0.0
100,0.5244,0.013792563793580945,0.4013158822472489,0.0036,0.0
