number_media,final_opinion,final_std,final_clustering,final_pol,prob_to_change
10,0.1972,0.01779013479431789,0.4745670571880246,-0.1076,0.132
20,0.3524,0.01608913372434949,0.37034363644059276,0.0212,0.004
30,0.3812,0.015732766317466233,0.36876015585652183,0.0004,0.0
40,0.4112,0.015346252180907231,0.365788610469247,-0.0056,0.0
50,0.4468,0.014874999159663843,0.3741841080224195,0.006,0.0
60,0.4444,0.014905910773917843,0.3700119639250591,0.0116,0.0
70,0.486,0.014338738577713174,0.3848921294703693,-0.0012,0.0
80,0.5,0.01414190934775075,0.38760452621336305,-0.004,0.0
90,0.4968,0.014186993479944931,0.3883501048362297,0.0048,0.0
100,0.5372,0.01360585991402234,0.40712074490427413,0.0012,0.0
