number_media,final_opinion,final_std,final_clustering,final_pol,prob_to_change
10,0.1388,0.018559963793068134,0.6216809925528627,0.0044,0.454
20,0.314,0.016556349356062768,0.39947674886164436,-0.0268,0.046
30,0.3688,0.01588958703050523,0.36799432038260815,-0.0016,0.002
40,0.4044,0.015434923517789129,0.37209762408667557,0.0028,0.0
50,0.434,0.015043359199327788,0.37272164802474467,-0.0156,0.0
60,0.4696,0.014565572559978548,0.3772898582440111,0.0032,0.002
70,0.4948,0.014215212133485733,0.3823993117351955,-0.0044,0.006
80,0.512,0.01397106953672481,0.39469352831600096,0.0048,0.0
90,0.5,0.014141809785172477,0.38568420278950205,0.0048,0.0
100,0.534,0.013652836188865668,0.40786558135244994,-0.0004,0.0
